"","EmployeeID","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeCount","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","Over18","PercentSalaryHike","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","work_duration","Leaves","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating"
"1",1,51,"No","Travel_Rarely","Sales",6,"2","Life Sciences",1,"Female","1","Healthcare Representative","Married",131160,1,"Y",11,8,0,1,6,1,0,0,7.4,17,"3","4","2","3","3"
"2",2,31,"Yes","Travel_Frequently","Research & Development",10,"1","Life Sciences",1,"Female","1","Research Scientist","Single",41890,0,"Y",23,8,1,6,3,5,1,4,7.7,13,"3","2","4","2","4"
"3",3,32,"No","Travel_Frequently","Research & Development",17,"4","Other",1,"Male","4","Sales Executive","Married",193280,1,"Y",15,8,3,5,2,5,0,3,7,7,"2","2","1","3","3"
"4",4,38,"No","Non-Travel","Research & Development",2,"5","Life Sciences",1,"Male","3","Human Resources","Married",83210,3,"Y",11,8,3,13,5,8,7,5,7.2,14,"4","4","3","2","3"
"5",5,32,"No","Travel_Rarely","Research & Development",10,"1","Medical",1,"Male","1","Sales Executive","Single",23420,4,"Y",12,8,2,9,2,6,0,4,8,4,"4","1","3","3","3"
"6",6,46,"No","Travel_Rarely","Research & Development",8,"3","Life Sciences",1,"Female","4","Research Director","Married",40710,3,"Y",13,8,0,28,5,7,7,7,11,12,"3","2","2","3","3"
"7",7,28,"Yes","Travel_Rarely","Research & Development",11,"2","Medical",1,"Male","2","Sales Executive","Single",58130,2,"Y",20,8,1,5,2,0,0,0,6.9,17,"1","3","1","3","4"
"8",8,29,"No","Travel_Rarely","Research & Development",18,"3","Life Sciences",1,"Male","2","Sales Executive","Married",31430,2,"Y",22,8,3,10,2,0,0,0,6.7,6,"1","2","3","3","4"
"9",9,31,"No","Travel_Rarely","Research & Development",1,"3","Life Sciences",1,"Male","3","Laboratory Technician","Married",20440,0,"Y",21,8,0,10,2,9,7,8,7.2,19,"2","4","3","3","4"
"10",10,25,"No","Non-Travel","Research & Development",7,"4","Medical",1,"Female","4","Laboratory Technician","Divorced",134640,1,"Y",13,8,1,6,2,6,1,5,7.1,15,"2","1","3","3","3"
"11",11,45,"No","Travel_Rarely","Research & Development",17,"2","Medical",1,"Male","2","Laboratory Technician","Married",79910,0,"Y",13,8,2,21,2,20,4,10,8.4,8,"3","4","3","2","3"
"12",12,36,"No","Travel_Rarely","Research & Development",28,"1","Life Sciences",1,"Male","1","Laboratory Technician","Married",33770,0,"Y",12,8,2,16,2,15,10,11,7.1,8,"unknown","4","3","3","3"
"13",13,55,"No","Travel_Rarely","Research & Development",14,"4","Life Sciences",1,"Female","1","Sales Executive","Single",55380,0,"Y",17,8,0,37,2,36,4,13,9.3,20,"4","1","3","3","3"
"14",14,47,"Yes","Non-Travel","Research & Development",1,"1","Medical",1,"Male","1","Research Scientist","Married",57620,1,"Y",11,8,2,10,4,10,9,9,9.4,14,"1","2","2","2","3"
"15",15,28,"No","Travel_Rarely","Research & Development",1,"3","Life Sciences",1,"Male","1","Manufacturing Director","Married",25920,1,"Y",14,8,0,5,2,5,0,4,6.1,8,"4","4","2","3","3"
"16",16,37,"No","Travel_Rarely","Research & Development",1,"3","Life Sciences",1,"Male","2","Healthcare Representative","Married",53460,4,"Y",11,8,0,7,2,5,0,1,6.7,12,"3","4","4","3","3"
"17",17,21,"No","Travel_Rarely","Research & Development",3,"2","Life Sciences",1,"Male","1","Laboratory Technician","Single",42130,1,"Y",12,8,3,3,3,3,1,0,6.6,22,"4","3","4","2","3"
"18",18,37,"No","Non-Travel","Research & Development",1,"3","Medical",1,"Male","2","Sales Executive","Divorced",41270,2,"Y",13,8,1,15,2,5,0,2,11,3,"1","4","3","3","3"
"19",19,35,"No","Travel_Rarely","Sales",7,"4","Life Sciences",1,"Male","1","Sales Representative","Divorced",24380,7,"Y",16,8,0,10,5,7,6,2,7,17,"2","2","2","2","3"
