"","EmployeeID","Jan_avg_workhours","Feb_avg_workhours","Mar_avg_workhours","Apr_avg_workhours","May_avg_workhours","Jun_avg_workhours","Jul_avg_workhours","Aug_avg_workhours","Sep_avg_workhours","Oct_avg_workhours","Nov_avg_workhours","Dec_avg_workhours"
"1","1",7.3,7.4,7.3,7.4,7.4,7.4,7.3,7.4,7.4,7.4,7.3,7.4
"2","2",7.5,7.8,7.7,7.7,7.7,7.8,7.7,7.8,7.7,7.7,7.8,7.8
"3","3",7,6.9,7,7.1,6.9,7,7.1,6.9,7.1,7,7,7
"4","4",7.1,7.1,7.2,7.1,7.3,7.2,7.3,7.2,7.2,7.1,7.2,7.2
"5","5",8,8,8,8,8,8,7.9,8,8.1,8,8.1,8
"6","6",11,11,11,11,11,11,11,11,11,11,11,11
"7","7",7.1,6.8,6.9,7,6.9,6.9,7,7,6.8,6.9,6.8,6.9
"8","8",6.7,6.7,6.7,6.7,6.7,6.6,6.8,6.8,6.8,6.7,6.7,6.8
"9","9",7.3,7.3,7.3,7.2,7.2,7.1,7.2,7.3,7.2,7.3,7.2,7.2
"10","10",7.2,7.1,7.2,7.1,7,7.1,7,7,7.1,7,7,7
"11","11",8.3,8.4,8.4,8.4,8.5,8.4,8.5,8.5,8.4,8.4,8.3,8.4
"12","12",7,7.2,7,7,7,7,7.2,7.1,7.1,7.1,7.1,7
"13","13",9.3,9.2,9.2,9.3,9.3,9.2,9.2,9.3,9.4,9.4,9.3,9.4
"14","14",9.5,9.4,9.4,9.4,9.4,9.3,9.4,9.4,9.4,9.3,9.3,9.4
"15","15",6.1,6,6.1,6.1,6,6.1,6,6.1,6.1,6.2,6.2,6.2
"16","16",6.6,6.7,6.7,6.6,6.7,6.8,6.8,6.7,6.7,6.7,6.7,6.7
"17","17",6.6,6.5,6.8,6.7,6.6,6.6,6.6,6.6,6.5,6.6,6.6,6.7
"18","18",11,11,11,11,11,11,11,11,11,11,11,11
"19","19",7,7,6.9,7,6.9,7,6.8,6.9,7,6.9,6.9,7.1
"20","20",9.2,9.3,9.3,9.2,9.3,9.3,9.2,9.2,9.4,9.3,9.3,9.5
"21","21",7.6,7.5,7.6,7.6,7.7,7.6,7.6,7.5,7.5,7.6,7.6,7.6
"22","22",6.1,6.1,5.9,6,5.9,6.1,6,6,6.1,6,5.9,5.9
"23","23",8.5,8.5,8.3,8.4,8.4,8.4,8.5,8.2,8.3,8.4,8.5,8.4
"24","24",6.8,6.8,6.8,6.9,6.9,6.8,6.7,6.7,6.8,6.9,6.7,6.9
"25","25",7.1,7.1,7,7.1,7.2,7,7.2,7.1,7,7.2,7.1,7
"26","26",9.2,9.5,9.3,9.4,9.3,9.4,9.3,9.4,9.3,9.4,9.4,9.4
"27","27",11,11,11,11,11,11,11,11,11,11,11,11
"28","28",7.6,7.5,7.7,7.6,7.7,7.6,7.6,7.6,7.7,7.5,7.6,7.6
"29","29",11,11,11,11,11,11,11,11,11,11,11,11
"30","30",6.8,6.8,6.8,6.8,6.9,6.9,6.9,6.8,6.8,6.8,6.9,6.8
"31","31",10,10,10,10,10,10,10,10,10,10,10,10
"32","32",6.7,6.7,6.7,6.7,6.6,6.6,6.7,6.7,6.7,6.7,6.8,6.7
"33","33",11,11,10,10,10,10,11,11,10,11,11,11
"34","34",6.3,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.1,6.2
"35","35",6.5,6.6,6.6,6.7,6.5,6.5,6.6,6.6,6.6,6.7,6.6,6.6
"36","36",10,10,10,10,10,10,10,10,10,10,10,10
"37","37",9.9,9.9,10,10,10,10,10,10,10,9.9,9.9,10
"38","38",6.1,5.9,6,6,5.9,5.9,5.9,6,5.9,6.1,5.9,6.1
"39","39",6.7,6.8,6.8,6.8,6.6,6.9,6.8,6.8,6.8,6.7,6.8,6.9
"40","40",7.7,7.7,7.7,7.7,7.7,7.6,7.8,7.7,7.7,7.7,7.7,7.6
"41","41",7.1,7.2,7.2,7.3,7.3,7.3,7.1,7.3,7,7.2,7.2,7.2
"42","42",7.6,7.6,7.7,7.6,7.6,7.8,7.5,7.5,7.5,7.6,7.5,7.6
"43","43",7,7,7,7,6.9,7,6.9,6.9,7,6.9,6.9,6.9
"44","44",7.1,7,6.9,7.1,7.1,6.9,6.9,7,7,7,7,7.1
"45","45",7.2,7.2,7.3,7.1,7.2,7.2,7.4,7.1,7.3,7.1,7.1,7.2
"46","46",7.2,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.1,7.1
"47","47",7.5,7.6,7.5,7.7,7.8,7.7,7.6,7.7,7.7,7.6,7.7,7.5
"48","48",7.8,7.7,7.8,7.9,7.8,7.9,7.8,7.8,7.9,7.8,7.9,7.9
"49","49",7,6.8,6.8,7,7,7.1,6.9,7,6.9,7,7,7
"50","50",6.9,6.9,7,6.8,6.9,6.9,6.9,6.9,7,6.9,6.9,7
"51","51",11,11,11,11,11,11,11,11,11,11,11,11
"52","52",9.1,9.2,9.1,9,9.1,9.2,9.1,9.1,9.2,9.1,9.1,9.1
"53","53",6.8,6.7,6.9,6.9,6.8,6.9,6.8,6.8,6.8,6.8,6.8,6.9
"54","54",7.4,7.3,7.4,7.2,7.4,7.4,7.3,7.3,7.3,7.3,7.3,7.3
"55","55",8.6,8.6,8.6,8.5,8.6,8.6,8.6,8.7,8.6,8.7,8.7,8.6
"56","56",6.8,6.8,6.9,6.8,6.8,6.6,6.8,6.9,6.9,6.8,6.7,6.8
"57","57",11,11,11,11,11,11,11,11,11,11,11,11
"58","58",7.7,7.7,7.6,7.7,7.8,7.6,7.6,7.7,7.7,7.7,7.7,7.7
"59","59",10,10,9.9,9.9,10,9.8,10,10,10,10,9.9,9.9
"60","60",7.9,7.9,7.9,7.9,7.9,7.9,7.9,8,7.9,7.8,7.9,8
"61","61",11,11,11,11,11,11,11,11,11,11,11,11
"62","62",11,11,10,10,10,11,10,10,11,11,11,10
"63","63",10,10,10,10,10,10,10,10,10,10,10,10
"64","64",6.6,6.5,6.7,6.6,6.7,6.6,6.5,6.6,6.7,6.6,6.7,6.6
"65","65",7.5,7.4,7.5,7.5,7.5,7.5,7.5,7.5,7.6,7.6,7.6,7.4
"66","66",11,11,11,11,11,11,11,11,11,11,11,11
"67","67",6.3,6.2,6.2,6.2,6.1,6.2,6.3,6.1,6.3,6.1,6.1,6.1
"68","68",6.5,6.7,6.6,6.7,6.7,6.6,6.5,6.7,6.7,6.5,6.6,6.6
"69","69",6,6.1,6.1,6,6.1,6.1,6.1,6.1,6.1,6.1,6,6.1
"70","70",9.9,10,10,10,9.9,10,10,10,9.9,10,10,10
"71","71",7.4,7.4,7.4,7.4,7.3,7.5,7.4,7.5,7.4,7.5,7.5,7.4
"72","72",6.4,6.4,6.5,6.6,6.4,6.6,6.5,6.5,6.5,6.5,6.5,6.5
"73","73",6.3,6.3,6.3,6.3,6.4,6.2,6.3,6.2,6.3,6.3,6.4,6.3
"74","74",9.3,9.3,9.3,9.3,9.4,9.5,9.2,9.2,9.3,9.2,9.3,9.4
"75","75",6.2,6.1,6,6,6.1,6.1,6,6.1,6.1,6.2,6.2,6
"76","76",7.2,7.2,7.3,7.3,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
"77","77",7.1,7.1,7.1,7.1,7.1,7.1,7.3,7.1,7.1,7.1,7,7.1
"78","78",9.9,9.9,9.9,10,9.8,9.9,9.9,9.9,10,9.8,10,10
"79","79",10,10,10,10,10,10,10,11,11,10,11,11
"80","80",6.9,6.8,6.9,6.9,6.8,7,6.9,6.9,7,6.9,6.8,7
"81","81",7.6,7.5,7.5,7.6,7.6,7.6,7.6,7.5,7.5,7.5,7.7,7.7
"82","82",6.1,6.1,6,6.1,6.1,6,6,6,6.1,6.1,6.1,6.2
"83","83",6,6,6,6.1,6,6,6,6,6,5.9,6,5.9
"84","84",9,9,9,9,8.8,9,8.9,8.8,9,9,9.1,9.1
"85","85",10,10,11,10,10,10,10,10,11,10,10,10
"86","86",8.5,8.3,8.5,8.4,8.4,8.4,8.4,8.4,8.3,8.4,8.3,8.3
"87","87",8,7.9,7.9,7.9,7.9,8,7.9,7.9,7.9,7.9,7.8,7.8
"88","88",7.1,7.2,7.1,7.1,7.1,7.1,7.2,7.1,7.1,7.1,7.1,7.1
"89","89",9.7,9.6,9.7,9.7,9.7,9.8,9.6,9.6,9.6,9.6,9.7,9.8
"90","90",7.9,7.8,7.7,7.6,7.8,7.8,7.8,7.8,7.8,7.7,7.7,7.9
"91","91",6.3,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.2,6.3
"92","92",6.2,6.3,6.2,6.3,6.4,6.3,6.4,6.3,6.3,6.4,6.2,6.4
"93","93",8.7,8.9,8.9,8.9,8.7,8.8,8.8,8.9,8.8,8.9,8.8,8.8
"94","94",7.8,7.7,7.7,7.8,7.6,7.9,7.8,7.7,7.7,7.6,7.6,7.7
"95","95",7.2,7.3,7.3,7.4,7.4,7.3,7.2,7.3,7.4,7.3,7.3,7.4
"96","96",11,11,11,11,11,11,11,11,11,11,11,11
"97","97",10,10,10,10,10,10,11,10,10,10,10,10
"98","98",6,6.1,5.9,5.9,5.9,6.1,6,6,6,6,6,6.1
"99","99",6.1,6.1,6.1,6.1,6.2,6.2,5.9,6.1,6.2,6.1,6.1,6.2
"100","100",8.2,8,8.2,8.2,8.1,8.2,8.1,8.2,8.1,8.1,8.2,8.1
"101","101",7.3,7.3,7.3,7.3,7.4,7.3,7.3,7.3,7.3,7.3,7.2,7.3
"102","102",7,7.1,7.1,7.1,7,7.2,7.1,7.1,7.1,7.1,7.1,7.1
"103","103",6.3,6.3,6.4,6.4,6.2,6.3,6.4,6.4,6.3,6.3,6.2,6.4
"104","104",8,8.1,8.2,8.1,8,8.2,8.1,8.1,8,8.2,8.2,8.2
"105","105",8,8,8,7.9,8,7.9,7.9,8.1,8,8,8,8
"106","106",10,11,10,11,10,11,10,11,11,10,10,11
"107","107",8,8,8.1,7.9,7.9,8.1,8,8,7.8,8.1,8,7.9
"108","108",6.1,6.1,6.1,6.2,6,6.1,6,6.1,6.2,6.2,6,6.1
"109","109",7.6,7.6,7.6,7.6,7.7,7.5,7.5,7.6,7.6,7.6,7.7,7.5
"110","110",7,6.9,6.9,6.8,7,6.8,6.9,6.8,6.8,6.9,7,7
"111","111",9.4,9.1,9.2,9.4,9.4,9.3,9.3,9.4,9.3,9.3,9.2,9.3
"112","112",11,11,11,11,11,11,11,11,11,11,11,11
"113","113",6,6,5.9,5.9,6.1,6.1,6,6.1,5.9,6,6,6
"114","114",7.7,7.9,7.8,7.9,7.9,7.7,7.8,7.7,7.8,7.8,7.8,7.8
"115","115",7.8,7.6,7.8,7.7,7.8,7.8,7.7,7.7,7.7,7.7,7.7,7.8
"116","116",6.2,6.3,6.1,6.2,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.1
"117","117",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.2,7.1,7.2,7.1,7.2
"118","118",7.8,7.7,7.8,7.8,7.8,7.7,7.9,7.9,7.9,7.9,7.9,7.8
"119","119",7.5,7.6,7.6,7.5,7.6,7.7,7.5,7.7,7.7,7.6,7.8,7.7
"120","120",5.8,6,6,5.9,6,6,5.9,6.1,6.1,6,6,6.1
"121","121",9.2,9.1,9.2,9.2,9.1,9.2,9.1,9,9.1,9.1,9.1,9.1
"122","122",8.7,8.8,8.6,8.7,8.7,8.8,8.6,8.7,8.6,8.7,8.8,8.6
"123","123",10,10,9.9,10,10,10,9.9,10,10,10,10,10
"124","124",6.9,6.8,7,6.8,6.9,6.8,7,6.9,6.9,6.9,7,6.9
"125","125",7,7.1,7,7,7,7,7.1,7.1,6.9,7,7,6.9
"126","126",6.3,6.2,6.3,6.3,6.2,6.3,6.3,6.2,6.4,6.2,6.3,6.4
"127","127",6.5,6.3,6.3,6.2,6.4,6.4,6.3,6.5,6.5,6.4,6.4,6.3
"128","128",8.2,8.1,8.2,8.1,8.3,8.1,8.2,8.3,8.3,8.2,8.1,8.3
"129","129",6.5,6.5,6.4,6.5,6.4,6.5,6.4,6.4,6.4,6.5,6.4,6.6
"130","130",6.8,6.5,6.7,6.6,6.7,6.7,6.7,6.7,6.8,6.6,6.5,6.7
"131","131",7.5,7.5,7.5,7.5,7.4,7.4,7.4,7.5,7.5,7.5,7.4,7.5
"132","132",10,10,9.9,9.9,9.9,9.9,9.9,9.9,10,9.9,9.9,9.9
"133","133",7.4,7.5,7.3,7.4,7.3,7.5,7.5,7.4,7.4,7.4,7.5,7.4
"134","134",7.5,7.5,7.6,7.5,7.5,7.4,7.4,7.5,7.5,7.6,7.5,7.5
"135","135",6,6,6,6.1,6.1,5.9,5.9,6.1,6,6,6,5.9
"136","136",6.8,6.9,6.8,6.9,6.8,6.9,6.8,6.9,6.8,6.8,7,6.8
"137","137",6.1,6.2,6.2,6.1,6.1,6.2,6.1,6,6.1,6.1,6.3,6.1
"138","138",7.7,7.7,7.6,7.8,7.7,7.6,7.7,7.8,7.6,7.7,7.7,7.6
"139","139",8.8,8.9,8.7,9,9,8.9,9,8.9,8.9,8.9,8.9,8.9
"140","140",11,11,11,11,11,11,11,11,11,11,11,11
"141","141",11,11,11,11,11,11,11,11,11,11,11,11
"142","142",7,7.1,7.1,7,7.1,7.1,7.1,7.2,7.1,7,7,7
"143","143",9,9,9.1,8.9,8.9,9,8.9,9,9.1,9.1,9,9
"144","144",7.4,7.4,7.5,7.4,7.5,7.4,7.3,7.4,7.4,7.5,7.4,7.5
"145","145",7.6,7.6,7.5,7.7,7.7,7.6,7.6,7.7,7.5,7.6,7.4,7.6
"146","146",6.6,6.7,6.7,6.6,6.6,6.6,6.6,6.6,6.6,6.7,6.6,6.6
"147","147",6,6.3,6.3,6.2,6.2,6.2,6.3,6.2,6.2,6.2,6.1,6.1
"148","148",6.4,6.5,6.4,6.5,6.5,6.5,6.4,6.4,6.5,6.4,6.4,6.5
"149","149",8.2,8.3,8.2,8.1,8.3,8.3,8.2,8.3,8.1,8.1,8.1,8.3
"150","150",6.7,6.8,6.8,6.9,6.7,6.8,6.8,6.8,6.8,6.6,6.8,6.9
"151","151",7.3,7.3,7.3,7.4,7.3,7.4,7.3,7.3,7.4,7.3,7.2,7.2
"152","152",6.8,7,7,6.9,6.8,6.8,6.8,6.7,6.8,6.7,6.9,6.8
"153","153",7.3,7.4,7.4,7.4,7.2,7.3,7.4,7.2,7.4,7.3,7.4,7.3
"154","154",6.1,6.1,6.2,6.2,6.1,6.2,6.1,6.1,6.1,6.2,6.2,6.2
"155","155",7.7,7.6,7.7,7.6,7.5,7.6,7.5,7.5,7.6,7.7,7.7,7.7
"156","156",6.5,6.8,6.6,6.5,6.5,6.6,6.6,6.7,6.7,6.6,6.6,6.6
"157","157",11,11,11,11,11,11,11,11,11,11,11,11
"158","158",6.2,6.4,6.2,6.2,6.2,6.3,6.2,6.2,6.1,6.3,6.1,6.2
"159","159",8.6,8.6,8.6,8.6,8.7,8.6,8.6,8.5,8.5,8.6,8.6,8.6
"160","160",6,6,6,6.1,6,5.9,6.1,5.9,6,6.1,5.9,5.9
"161","161",6.4,6.3,6.2,6.1,6.3,6.3,6.3,6.2,6.2,6.3,6.3,6.5
"162","162",8.1,8,7.8,7.9,7.9,7.9,7.8,7.8,7.9,8,7.8,7.9
"163","163",7.2,7.1,7.1,7.2,7.2,7.2,7.1,7.1,7.2,7.2,7.2,7.3
"164","164",6.6,6.7,6.6,6.7,6.7,6.6,6.5,6.7,6.6,6.7,6.8,6.6
"165","165",7.9,7.9,8,7.9,8,7.9,7.9,7.8,7.9,7.9,7.8,7.9
"166","166",6.8,6.6,6.6,6.7,6.7,6.7,6.8,6.9,6.8,6.7,6.6,6.7
"167","167",6.3,6.2,6.2,6.2,6.2,6.3,6.3,6.5,6.3,6.3,6.2,6.4
"168","168",7.2,7.1,7.2,7.1,7.2,7.2,7.1,7.2,7.3,7.2,7.1,7.2
"169","169",6.2,6.3,6.3,6.3,6.3,6.2,6.3,6.2,6.4,6.3,6.2,6.3
"170","170",7.1,7.2,7.1,7.3,7.2,7.2,7.2,7.2,7.2,7.3,7.2,7.3
"171","171",7.7,7.8,7.8,7.9,7.8,7.9,7.8,7.7,7.8,7.9,7.8,7.8
"172","172",6.9,6.9,6.8,6.7,6.8,6.9,6.8,6.8,6.7,6.8,6.9,6.7
"173","173",6.4,6.6,6.5,6.5,6.6,6.5,6.4,6.4,6.5,6.5,6.5,6.4
"174","174",7.5,7.8,7.7,7.7,7.6,7.6,7.7,7.7,7.6,7.7,7.6,7.6
"175","175",7.5,7.5,7.6,7.7,7.5,7.6,7.7,7.5,7.6,7.7,7.5,7.5
"176","176",9.1,9.1,9.2,9.2,9.2,9.2,9.2,9.1,9.2,9.3,9.2,9.2
"177","177",6.5,6.4,6.4,6.4,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.4
"178","178",8.5,8.4,8.5,8.5,8.5,8.4,8.5,8.5,8.4,8.6,8.5,8.5
"179","179",6.9,7,7,6.9,7,7,7,7,6.9,6.9,7.1,6.9
"180","180",6.5,6.5,6.4,6.6,6.4,6.5,6.5,6.5,6.4,6.4,6.6,6.5
"181","181",8.8,8.8,8.9,8.8,8.8,8.8,9,8.9,8.7,9,8.9,8.9
"182","182",6.5,6.6,6.6,6.7,6.6,6.6,6.6,6.6,6.6,6.6,6.5,6.5
"183","183",11,11,11,11,11,11,11,11,11,11,11,11
"184","184",7.9,7.8,7.8,7.9,7.8,7.9,7.9,7.8,7.8,7.7,7.8,7.7
"185","185",7.3,7.3,7.2,7.2,7.3,7.3,7.2,7.2,7.2,7.2,7.1,7.2
"186","186",6.4,6.3,6.3,6.5,6.4,6.4,6.4,6.5,6.6,6.5,6.4,6.4
"187","187",6.8,6.8,6.9,6.8,6.8,6.8,6.7,6.8,6.7,6.8,6.8,6.8
"188","188",7.3,7.3,7.3,7.4,7.4,7.5,7.4,7.4,7.5,7.4,7.4,7.4
"189","189",6.3,6.2,6.1,6.2,6.2,6.2,6.1,6.2,6.2,6.3,6.2,6.1
"190","190",6,6,6.1,6.1,6,6,6,6,6,6,6,5.9
"191","191",7.3,7.3,7.3,7.3,7.4,7.3,7.3,7.4,7.2,7.3,7.3,7.2
"192","192",7.1,7,7.1,7.2,7.1,6.9,7.1,7.1,7.2,7,7,7
"193","193",8.8,8.7,8.8,8.8,8.7,8.8,8.7,8.7,8.7,8.7,8.7,8.8
"194","194",11,11,11,11,11,11,11,11,11,11,11,11
"195","195",7.4,7.4,7.4,7.4,7.4,7.4,7.5,7.3,7.4,7.5,7.4,7.4
"196","196",9.2,9.2,9.1,9.3,9.3,9.2,9.2,9.2,9.2,9.2,9.2,9.1
"197","197",7.3,7.4,7.4,7.5,7.2,7.4,7.4,7.3,7.4,7.3,7.5,7.4
"198","198",7.5,7.4,7.4,7.4,7.5,7.5,7.4,7.4,7.3,7.5,7.3,7.3
"199","199",6.8,6.8,6.6,6.8,6.8,6.8,6.7,6.6,6.7,6.7,6.7,6.7
"200","200",9.3,9.2,9.2,9.2,9.2,9.2,9.3,9.2,9.2,9.3,9.3,9.2
"201","201",6.9,7,6.8,6.9,6.9,6.9,6.8,6.9,6.9,6.9,6.8,7
"202","202",9.3,9.4,9.1,9.4,9.4,9.3,9.3,9.3,9.2,9.3,9.3,9.3
"203","203",5.9,6.1,6.1,6.1,5.9,6,6,6,6.1,6.1,5.9,6
"204","204",6.4,6.4,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.4
"205","205",6.4,6.3,6.4,6.5,6.3,6.4,6.5,6.4,6.4,6.4,6.3,6.5
"206","206",8.8,8.6,8.8,8.7,8.7,8.8,8.8,8.8,8.7,8.9,8.8,8.7
"207","207",7.4,7.4,7.4,7.4,7.4,7.4,7.3,7.4,7.3,7.3,7.4,7.5
"208","208",6.2,6.2,6.2,6.2,6.3,6.2,6.2,6.2,6.2,6.1,6.1,6.3
"209","209",7.7,7.7,7.8,7.7,7.7,7.7,7.6,7.6,7.7,7.8,7.7,7.7
"210","210",7.5,7.5,7.5,7.5,7.4,7.5,7.5,7.4,7.5,7.5,7.5,7.6
"211","211",9,9.1,9.1,9,9.1,9.1,9.1,9.2,9.1,9,9,9.1
"212","212",6,5.9,6.1,6,6,6,6,6,6,5.9,6.1,5.9
"213","213",6,6.1,6.1,5.9,6,6.1,6.1,6.1,6,6,6,6
"214","214",6.2,6.1,6,6,6,6,5.9,6,6.1,6.1,6,6
"215","215",6.9,6.9,6.8,6.9,6.9,6.9,6.9,6.9,7,6.8,7,6.9
"216","216",11,11,11,11,11,11,11,11,11,11,11,11
"217","217",9,9,8.8,8.9,9,9,9.1,9.1,9,9.1,9,8.9
"218","218",7.3,7.5,7.4,7.4,7.4,7.4,7.4,7.4,7.3,7.3,7.3,7.4
"219","219",6.8,6.9,6.9,6.8,6.8,7,6.8,6.8,6.8,6.9,6.7,6.8
"220","220",6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.7,6.8,6.9,6.9,6.7
"221","221",7.4,7.3,7.4,7.5,7.3,7.4,7.4,7.4,7.4,7.5,7.4,7.4
"222","222",11,11,11,11,11,11,11,11,11,11,11,11
"223","223",6.9,6.9,6.8,6.9,6.9,6.9,6.9,6.8,6.9,7,6.8,6.9
"224","224",8.9,8.9,8.8,8.9,8.9,9.1,8.9,8.9,8.9,8.9,9,8.9
"225","225",6.6,6.7,6.7,6.6,6.7,6.7,6.7,6.7,6.7,6.6,6.8,6.7
"226","226",7.8,7.9,7.9,7.9,8,7.9,8,7.9,7.9,7.9,7.9,8
"227","227",6.3,6.3,6.4,6.3,6.4,6.3,6.4,6.2,6.3,6.2,6.3,6.3
